0.77568,0.6473
1.9503,0.51739
3.0614,0.53362
4.2042,0.59858
5.4265,0.59858
6.5693,0.5661
7.7122,0.63106
8.7757,0.69602
9.982,0.61482
11.093,0.66354
11.68,1.8328
10.585,1.6379
9.3789,1.6379
8.1566,1.7354
7.109,1.7029
5.8074,1.6054
4.6169,1.6379
3.5535,1.573
2.3154,1.508
1.1725,1.7029
0.64869,2.6448
1.7757,2.6285
3.0773,2.6123
4.1249,2.6123
5.4423,2.661
6.4582,2.6448
7.7439,2.6773
8.9662,2.661
10.204,2.7585
11.188,2.7909
11.744,3.7653
10.617,3.9764
9.3947,3.879
8.2042,3.814
6.9662,3.7328
5.7281,3.6679
4.6011,3.6516
3.6011,3.6354
2.3312,3.6354
1.2042,3.6679
0.5852,4.7397
1.8074,4.7559
2.9662,4.7235
4.1249,4.691
5.3471,4.7072
6.4741,4.691
7.6011,4.7722
8.6804,4.9183
9.8709,4.8534
11.299,4.8371
11.728,5.9739
10.411,5.9577
9.2042,5.9577
8.0296,5.9577
6.9344,5.9414
5.6646,5.7466
4.5693,5.779
3.4106,5.6978
2.2519,5.6491
1.0296,5.6816
0.34711,6.7859
1.7281,6.7859
2.8233,6.7696
4.236,6.7534
5.0138,6.7534
6.4265,6.8996
7.7281,6.8996
8.6169,6.8996
9.9662,6.9645
11.093,6.9645
11.871,7.9227
10.284,7.9714
9.1884,7.9389
8.0614,7.9389
6.982,7.9714
5.6646,7.9714
4.3312,7.9389
3.3471,7.8739
2.4423,7.744
1.0138,7.6791
